WBGene00000095 aha-1
WBGene00019217 athp-2
WBGene00019218 madf-3
WBGene00019257 dhhc-13
WBGene00019299 snai-1
WBGene00019327 zip-2
WBGene00019344 dhhc-10
WBGene00019347 mbl-1
WBGene00019407 lect-2
WBGene00019424 aptf-1
WBGene00019521 dmd-7
WBGene00019598 K09H9.7
WBGene00019611 K10B3.5
WBGene00019629 cid-1
WBGene00019651 K11D12.12
WBGene00019691 K12H6.12
WBGene00019741 nhr-201
WBGene00019742 nhr-202
WBGene00019743 nhr-203
WBGene00019751 M03D4.4
WBGene00019816 nhr-204
WBGene00019824 R02D3.7
WBGene00019864 ceh-93
WBGene00019878 R05D3.3
WBGene00019960 ztf-16
WBGene00020015 nhr-210
WBGene00020062 nhr-270
WBGene00020066 dhhc-5
WBGene00020093 R144.3
WBGene00020111 R151.8
WBGene00020152 nhr-211
WBGene00020153 nhr-212
WBGene00020214 attf-5
WBGene00020251 camt-1
WBGene00020320 T07F8.4
WBGene00020368 ast-1
WBGene00020385 nhr-216
WBGene00020396 T10B5.10
WBGene00020399 ztf-4
WBGene00020408 T10D4.6
WBGene00020460 nhr-273
WBGene00020485 ceh-54
WBGene00020555 nhr-219
WBGene00020630 T20F7.1
WBGene00020635 ztf-31
WBGene00020694 dhhc-11
WBGene00020708 dmd-8
WBGene00020748 nhr-221
WBGene00020750 nhr-222
WBGene00020758 T24C4.2
WBGene00020763 ztf-18
WBGene00020823 T26A5.8
WBGene00020827 T26A8.4
WBGene00020849 nhr-225
WBGene00020850 nhr-226
WBGene00020851 nhr-227
WBGene00020852 nhr-228
WBGene00020930 hlh-30
WBGene00020942 W02D7.6
WBGene00020961 sknr-1
WBGene00021000 W03F9.2
WBGene00021047 zfp-3
WBGene00021082 zip-11
WBGene00021132 nfyb-1
WBGene00021163 nhr-275
WBGene00021254 Y22D7AL.16
WBGene00021374 Y37E11B.1
WBGene00021387 Y37F4.6
WBGene00021417 nhr-236
WBGene00021446 hlh-33
WBGene00021522 nhr-274
WBGene00021538 rabs-5
WBGene00021552 zip-4
WBGene00021610 nhr-237
WBGene00021611 nhr-238
WBGene00021637 Y47G6A.7
WBGene00021679 Y48G1C.6
WBGene00021689 Y48G8AL.10
WBGene00021704 Y48G9A.11
WBGene00021816 Y53G8AR.9
WBGene00021846 ztf-23
WBGene00021848 nhr-239
WBGene00021931 Y55F3AM.14
WBGene00021942 madf-1
WBGene00022000 tbx-42
WBGene00022020 hpo-39
WBGene00022046 Y66H1A.4
WBGene00022060 dmd-9
WBGene00022097 nhr-242
WBGene00022182 swsn-3
WBGene00022278 rcor-1
WBGene00022349 Y82E9BR.17
WBGene00022374 nhr-277
WBGene00022388 Y95B8A.8
WBGene00022423 nhr-41
WBGene00022500 lfi-1
WBGene00022518 zfh-2
WBGene00022554 duxl-1
WBGene00022562 ZC204.12
WBGene00022592 klu-2
WBGene00022598 ztf-8
WBGene00022608 madf-9
WBGene00022637 nhr-252
WBGene00022639 nhr-253
WBGene00022640 nhr-254
WBGene00022671 ZK177.3
WBGene00022681 ZK185.1
WBGene00022756 nhr-251
WBGene00022762 ZK546.5
WBGene00022785 ZK652.6
WBGene00022794 snu-23
WBGene00022795 ZK686.5
WBGene00022805 nhr-256
WBGene00022837 ceh-45
WBGene00022861 dve-1
WBGene00023497 lin-15B
WBGene00043056 nfya-2
WBGene00043705 egrh-2
WBGene00044032 ceh-99
WBGene00044068 syd-9
WBGene00044071 dhhc-14
WBGene00044330 alr-1
WBGene00044386 C27A2.7
WBGene00044508 nsy-7
WBGene00044651 egrh-3
WBGene00044699 nhr-286
WBGene00044791 bnc-1
WBGene00044798 tbx-43
WBGene00045215 ceh-63
WBGene00045255 nhr-146
WBGene00045419 lsy-12
WBGene00045515 nhr-291
WBGene00077521 maf-1
WBGene00077761 zip-9
